timestamp,open,high,low,close,volume
2018-04-26,1033.2200,1052.0200,1020.4500,1043.3100,2546332
2018-04-25,1029.7500,1036.0700,1017.0100,1022.9900,2893047
2018-04-24,1059.2000,1064.4900,1012.8600,1022.6400,6411038
2018-04-23,1082.9800,1088.0000,1066.6800,1073.8100,3479496
2018-04-20,1084.2700,1094.7500,1072.1000,1077.3200,2121692
2018-04-19,1069.0200,1097.5100,1069.0200,1089.4500,1994247
2018-04-18,1079.0100,1082.0000,1070.5200,1075.3900,1556298
2018-04-17,1061.2000,1085.0000,1057.0900,1079.3600,2729197
2018-04-16,1045.5500,1051.4300,1033.9200,1046.1000,1488822
2018-04-13,1046.8900,1052.9800,1030.1500,1036.0400,1270461
2018-04-12,1031.4700,1044.6500,1026.0500,1037.2900,1644794
2018-04-11,1032.0000,1035.8700,1019.2000,1025.0600,1703015
2018-04-10,1030.2600,1041.2100,1015.4100,1036.5000,1836678
2018-04-09,1020.0400,1044.5900,1019.2000,1020.0900,1661012
2018-04-06,1023.1000,1036.0000,1006.2500,1009.9500,2006683
2018-04-05,1046.3900,1046.7100,1024.0000,1032.6400,1791761
2018-04-04,998.2300,1032.7400,996.5100,1029.7100,2536198
2018-04-03,1016.1500,1025.0000,997.2450,1018.6800,2566146
2018-04-02,1027.6200,1039.5300,994.2500,1012.6300,3253387
2018-03-29,1011.2100,1048.0500,1004.0400,1037.1400,3466876
2018-03-28,1001.9100,1024.9900,984.0000,1005.1800,3884943
2018-03-27,1063.9000,1064.5400,997.6200,1006.9400,2940957
2018-03-26,1050.6000,1059.2700,1010.5800,1054.0900,3272409
2018-03-23,1051.3700,1066.7800,1024.8700,1026.5500,2413517
2018-03-22,1080.0100,1083.9200,1049.6400,1053.1500,3418154
2018-03-21,1092.5700,1108.7000,1087.2100,1094.0000,1990515
2018-03-20,1098.4000,1105.5500,1082.4200,1095.8000,2709310
2018-03-19,1117.7600,1119.3700,1088.9200,1100.0700,3076349
2018-03-16,1155.3500,1156.8100,1131.3600,1134.4200,2654602
2018-03-15,1149.5700,1162.5000,1135.6600,1150.6100,1623868
2018-03-14,1145.8000,1159.7600,1142.3500,1148.8900,2033697
2018-03-13,1171.8300,1178.0000,1134.5700,1139.9100,2129435
2018-03-12,1165.0500,1178.1600,1159.2000,1165.9300,2129297
2018-03-09,1139.5000,1161.0000,1134.2900,1160.8400,2070174
2018-03-08,1117.2000,1131.4400,1117.2000,1129.3800,1510478
2018-03-07,1092.8200,1116.2000,1089.9100,1115.0400,1537429
2018-03-06,1102.1000,1105.6300,1094.5000,1100.9000,1169068
2018-03-05,1078.1300,1101.1800,1072.2700,1094.7600,1432369
2018-03-02,1057.9800,1086.8900,1050.1100,1084.1400,2508145
2018-03-01,1109.5400,1111.2700,1067.2900,1071.4100,2766856
2018-02-28,1122.0000,1127.6500,1103.0000,1103.9200,2431023
2018-02-27,1143.7000,1144.2500,1116.7900,1117.5100,2094863
2018-02-26,1131.8600,1144.2000,1129.3400,1143.7000,1489118
2018-02-23,1118.6600,1129.0000,1108.4400,1128.0900,1234539
2018-02-22,1119.1700,1125.4600,1105.1500,1109.9000,1386115
2018-02-21,1109.1000,1136.2000,1107.5100,1113.7500,2024534
2018-02-20,1092.7600,1116.2900,1090.0000,1103.5900,1646405
2018-02-16,1093.3800,1108.3100,1091.5500,1095.5000,1971928
2018-02-15,1083.4500,1094.1000,1067.2300,1091.3600,1806206
2018-02-14,1054.3200,1075.4700,1049.8000,1072.7000,2029979
2018-02-13,1050.0000,1061.2200,1046.9200,1054.1400,1574121
2018-02-12,1056.6700,1065.5700,1045.4900,1054.5600,2796258
2018-02-09,1025.8800,1051.7200,997.0000,1046.2700,4436032
